HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0.25,0.3333333333333333,0.2222222222222222,0.25,0.620253164556962,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.0,0.1111111111111111,0.0,0.3037974683544304,0.3333333333333333,0.0,0.0,0.0,0.0,0.0007044296191936353,1.0
0.5,0.3333333333333333,0.3333333333333333,0.5,0.5316455696202531,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.3333333333333333,0.3333333333333333,0.0,0.26582278481012656,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.3333333333333333,0.0,0.0,0.7848101265822784,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.3333333333333333,0.2222222222222222,0.25,0.4177215189873418,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,
0.5,0.3333333333333333,0.3333333333333333,0.0,0.26582278481012656,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.75,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,
0.0,1.0,0.1111111111111111,0.0,0.3291139240506329,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,
0.25,0.3333333333333333,0.2222222222222222,0.5,0.02531645569620253,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.0,0.2222222222222222,0.0,0.7468354430379747,0.3333333333333333,0.0,0.02227216315030356,0.0,0.006426276329882186,0.005842622135664857,1.0
0.25,0.3333333333333333,0.2222222222222222,0.25,0.3924050632911392,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,
0.5,0.3333333333333333,0.4444444444444444,0.0,0.26582278481012656,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.5,0.3333333333333333,0.6666666666666666,0.0,0.3037974683544304,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.0,0.2222222222222222,0.0,0.5063291139240507,0.3333333333333333,0.0014657639422070217,0.005199074229363029,0.0,0.011915387361656551,0.0,1.0
0.25,0.0,0.2222222222222222,0.5,0.0759493670886076,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.0,0.0,0.0,0.26582278481012656,0.3333333333333333,0.002722133035527326,0.012075269177875422,0.0,0.0,0.0,1.0
0.25,1.0,0.2222222222222222,0.0,0.25316455696202533,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.25,0.0,0.2222222222222222,0.0,0.37974683544303794,0.3333333333333333,0.0,0.0014423238184684533,0.0,0.0,0.0002486222185389301,1.0
0.5,0.3333333333333333,0.3333333333333333,0.0,0.4177215189873418,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0
0.25,1.0,0.2222222222222222,0.25,0.3670886075949367,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,
0.25,0.0,0.0,0.0,0.3670886075949367,0.3333333333333333,0.0017449570740559783,0.023211350753027202,0.0,0.0,4.1437036423155016e-05,1.0
